Exception_ID,Trade_ID,Exception_Type,Severity,Priority,Status,Owner,Created_Date,Last_Updated,Resolution_Time_Hours,Root_Cause,Escalated
EX00467,TRD100551,Late Confirmation,Medium,P2,Resolved,Sneha,5/19/2026,5/20/2026,12,Broker Error,No
EX00468,TRD100551,Broker Mismatch,Low,P3,Open,Neha,5/28/2026,5/29/2026,,Holiday Calendar,No
EX00469,TRD100663,Late Confirmation,High,P1,In Progress,Karan,2/27/2026,2/28/2026,,Trade Amendment,Yes
EX00470,TRD100663,Cash Break,Medium,P2,Open,Priya,2/26/2026,2/27/2026,,Incorrect Trade Date,No
EX00471,TRD100519,Late Confirmation,Medium,P2,Resolved,Priya,3/16/2026,3/18/2026,4,Broker Error,No
EX00472,TRD100519,Position Break,Low,P3,Open,Riya,3/14/2026,3/16/2026,,Holiday Calendar,No
EX00473,TRD100621,Trade Capture Error,Medium,P2,Resolved,Arjun,4/11/2026,4/16/2026,2,Manual Error,No
EX00474,TRD100621,Settlement Failure,Low,P3,Open,Rahul,4/19/2026,4/19/2026,,Price Difference,No
EX00475,TRD100713,Confirmation Mismatch,Medium,P2,In Progress,Riya,1/22/2026,1/23/2026,,Late Confirmation,No
EX00476,TRD100713,FX Rate Mismatch,Medium,P2,Resolved,Arjun,1/18/2026,1/21/2026,8,Holiday Calendar,No
EX00477,TRD100358,Cash Break,Low,P3,In Progress,Ankit,6/21/2026,6/23/2026,,Trade Amendment,No
EX00478,TRD100358,Trade Capture Error,Low,P3,In Progress,Ankit,6/22/2026,6/23/2026,,Trade Amendment,No
EX00479,TRD100630,Cash Break,Medium,P2,Resolved,Rahul,1/28/2026,1/29/2026,4,Holiday Calendar,No
EX00480,TRD100630,Late Confirmation,Low,P3,Resolved,Rahul,1/28/2026,1/29/2026,24,SSI Missing,No
EX00481,TRD100890,Position Break,Medium,P2,Resolved,Sneha,4/6/2026,4/10/2026,12,Late Confirmation,No
EX00482,TRD100890,Settlement Failure,Medium,P2,Open,Neha,4/8/2026,4/10/2026,,Holiday Calendar,No
EX00483,TRD100379,Late Confirmation,Medium,P2,Open,Priya,4/28/2026,4/30/2026,,Holiday Calendar,No
EX00484,TRD100379,Confirmation Mismatch,Low,P3,Resolved,Sneha,5/3/2026,5/6/2026,2,Broker Error,No
EX00485,TRD100292,Trade Capture Error,High,P1,Resolved,Arjun,6/10/2026,6/15/2026,48,Holiday Calendar,No
EX00486,TRD100292,Cash Break,Medium,P2,Resolved,Ankit,6/13/2026,6/17/2026,4,Manual Error,No
EX00487,TRD100635,FX Rate Mismatch,High,P1,Resolved,Priya,3/5/2026,3/10/2026,48,SSI Missing,No
EX00488,TRD100635,FX Rate Mismatch,Low,P3,Resolved,Neha,3/5/2026,3/7/2026,8,System Issue,No
EX00489,TRD100744,Booking Error,Medium,P2,Resolved,Arjun,6/5/2026,6/6/2026,48,Incorrect Trade Date,No
EX00490,TRD100744,SSI Missing,Medium,P2,Resolved,Arjun,6/3/2026,6/5/2026,2,Incorrect Trade Date,No
EX00491,TRD100557,Confirmation Mismatch,Low,P3,In Progress,Arjun,2/4/2026,2/7/2026,,Incorrect Trade Date,No
EX00492,TRD100557,FX Rate Mismatch,High,P1,Resolved,Riya,2/7/2026,2/11/2026,8,Trade Amendment,No
EX00493,TRD100557,Late Confirmation,High,P1,Open,Karan,1/31/2026,1/31/2026,,Wrong Counterparty,Yes
EX00494,TRD100310,Late Confirmation,Medium,P2,Resolved,Rahul,1/22/2026,1/25/2026,48,Trade Amendment,No
EX00495,TRD100310,Confirmation Mismatch,Medium,P2,Resolved,Neha,1/22/2026,1/23/2026,12,Incorrect Trade Date,No
EX00496,TRD100310,Late Confirmation,High,P1,In Progress,Ankit,1/24/2026,1/27/2026,,Incorrect Trade Date,Yes
EX00497,TRD100823,Position Break,Medium,P2,Open,Ankit,5/31/2026,5/31/2026,,Broker Error,No
EX00498,TRD100823,Broker Mismatch,Medium,P2,Open,Rahul,5/28/2026,5/28/2026,,Manual Error,No
EX00499,TRD100823,SSI Missing,Medium,P2,Resolved,Sneha,5/29/2026,6/2/2026,48,Broker Error,No
EX00500,TRD100009,Trade Capture Error,Medium,P2,Resolved,Riya,6/9/2026,6/14/2026,2,Holiday Calendar,No
EX00501,TRD100009,FX Rate Mismatch,Low,P3,Resolved,Sneha,6/12/2026,6/17/2026,48,Broker Error,No
EX00502,TRD100009,Confirmation Mismatch,Medium,P2,Resolved,Riya,6/12/2026,6/13/2026,36,Holiday Calendar,No
EX00503,TRD100973,Booking Error,High,P1,Open,Ankit,4/27/2026,4/29/2026,,Broker Error,No
EX00504,TRD100973,FX Rate Mismatch,Low,P3,Resolved,Arjun,4/26/2026,4/28/2026,48,Late Confirmation,No
EX00505,TRD100973,FX Rate Mismatch,Low,P3,Open,Sneha,5/6/2026,5/7/2026,,SSI Missing,No
EX00506,TRD100307,Broker Mismatch,Low,P3,Resolved,Arjun,1/24/2026,1/27/2026,8,SSI Missing,No
EX00507,TRD100307,Confirmation Mismatch,High,P1,Resolved,Neha,1/21/2026,1/25/2026,48,Wrong Counterparty,No
EX00508,TRD100307,Trade Capture Error,High,P1,Resolved,Arjun,1/25/2026,1/29/2026,4,SSI Missing,No
EX00509,TRD100107,Confirmation Mismatch,Low,P3,Resolved,Karan,5/21/2026,5/26/2026,48,Broker Error,No
EX00510,TRD100107,Settlement Failure,Medium,P2,In Progress,Rahul,5/13/2026,5/15/2026,,Late Confirmation,No
EX00511,TRD100107,SSI Missing,Low,P3,In Progress,Priya,5/18/2026,5/21/2026,,Trade Amendment,No
EX00512,TRD100138,Position Break,High,P1,Open,Riya,4/30/2026,5/1/2026,,Wrong Counterparty,Yes
EX00513,TRD100138,Cash Break,Low,P3,Open,Neha,4/25/2026,4/26/2026,,Broker Error,No
EX00514,TRD100138,Booking Error,Low,P3,Resolved,Arjun,4/30/2026,5/5/2026,36,Late Confirmation,No
EX00515,TRD100942,Cash Break,Medium,P2,Resolved,Priya,7/3/2026,7/6/2026,36,Trade Amendment,No
EX00516,TRD100942,Confirmation Mismatch,Medium,P2,Open,Arjun,6/29/2026,7/1/2026,,Late Confirmation,No
EX00517,TRD100942,Position Break,Medium,P2,Open,Neha,7/4/2026,7/6/2026,,Holiday Calendar,No
EX00518,TRD100119,SSI Missing,Low,P3,Open,Rahul,3/31/2026,4/1/2026,,Manual Error,No
EX00519,TRD100119,SSI Missing,High,P1,Open,Rahul,4/2/2026,4/3/2026,,System Issue,Yes
EX00520,TRD100119,Confirmation Mismatch,Medium,P2,Open,Ankit,4/5/2026,4/6/2026,,Late Confirmation,No
